"日期","渠道","注册数"
"2017-07-01","","1"
"2017-07-01","anzhi","1"
"2017-07-01","AppStore","534"
"2017-07-01","haidaikuan-anzhi","1"
"2017-07-01","haidaikuan-baidu","9"
"2017-07-01","haidaikuan-mumayi","1"
"2017-07-01","haidaikuan-oppo","132"
"2017-07-01","haidaikuan-sougou","6"
"2017-07-01","haidaikuan-vivo","70"
"2017-07-01","haidaikuan-yyb","427"
"2017-07-01","haijieqian-360","43"
"2017-07-01","haijieqian-anzhi","1"
"2017-07-01","haijieqian-baidu","16"
"2017-07-01","haijieqian-hjieqian","1"
"2017-07-01","haijieqian-jq-haohaojie","2"
"2017-07-01","haijieqian-jq-laijiezhijia","10"
"2017-07-01","haijieqian-jq-shundai","20"
"2017-07-01","haijieqian-oppo","100"
"2017-07-01","haijieqian-sougou","5"
"2017-07-01","haijieqian-vivo","111"
"2017-07-01","haijieqian-wandoujia","188"
"2017-07-01","haijieqian-xiaomi","30"
"2017-07-01","haijieqian-yyb","274"
"2017-07-01","hjieqian","9"
"2017-07-01","jq-","25"
"2017-07-01","jq-daikuanshequ","1"
"2017-07-01","jq-haohaojie","8"
"2017-07-01","jq-jieqiankuaiche","1"
"2017-07-01","jq-laijiezhijia","143"
"2017-07-01","jq-shunda","768"
"2017-07-01","jq-shundai","142"
"2017-07-01","jq-wangdaixiaomao","4"
"2017-07-01","kuaijiekuan-anzhi","2"
"2017-07-01","kuaijiekuan-baidu","2"
"2017-07-01","kuaijiekuan-huawei","4"
"2017-07-01","kuaijiekuan-oppo","24"
"2017-07-01","kuaijiekuan-vivo","18"
"2017-07-01","kuaijiekuan-yyb","58"
"2017-07-02","","2"
"2017-07-02","anzhi","1"
"2017-07-02","AppStore","530"
"2017-07-02","haidaikuan-anzhi","4"
"2017-07-02","haidaikuan-baidu","7"
"2017-07-02","haidaikuan-oppo","125"
"2017-07-02","haidaikuan-sougou","7"
"2017-07-02","haidaikuan-vivo","63"
"2017-07-02","haidaikuan-yyb","430"
"2017-07-02","haijieqian-360","40"
"2017-07-02","haijieqian-anzhi","3"
"2017-07-02","haijieqian-baidu","23"
"2017-07-02","haijieqian-hjieqian","1"
"2017-07-02","haijieqian-jq-laijiezhijia","7"
"2017-07-02","haijieqian-jq-shundai","24"
"2017-07-02","haijieqian-jq-wangdaixiaomao","2"
"2017-07-02","haijieqian-oppo","110"
"2017-07-02","haijieqian-sougou","5"
"2017-07-02","haijieqian-vivo","132"
"2017-07-02","haijieqian-wandoujia","184"
"2017-07-02","haijieqian-xiaomi","36"
"2017-07-02","haijieqian-yyb","288"
"2017-07-02","hjieqian","7"
"2017-07-02","jq-","26"
"2017-07-02","jq-daikuanshequ","1"
"2017-07-02","jq-haohaojie","9"
"2017-07-02","jq-kuailaiqian","2"
"2017-07-02","jq-laijiezhijia","117"
"2017-07-02","jq-qianxin","1"
"2017-07-02","jq-shunda","799"
"2017-07-02","jq-shundai","119"
"2017-07-02","jq-wangdaixiaomao","3"
"2017-07-02","jq-yinhangdai","2"
"2017-07-02","kuaijiekuan-anzhi","3"
"2017-07-02","kuaijiekuan-baidu","2"
"2017-07-02","kuaijiekuan-huawei","6"
"2017-07-02","kuaijiekuan-oppo","26"
"2017-07-02","kuaijiekuan-vivo","14"
"2017-07-02","kuaijiekuan-yyb","49"
"2017-07-03","anzhi","3"
"2017-07-03","AppStore","501"
"2017-07-03","haidaikuan-anzhi","3"
"2017-07-03","haidaikuan-baidu","10"
"2017-07-03","haidaikuan-oppo","160"
"2017-07-03","haidaikuan-sougou","6"
"2017-07-03","haidaikuan-vivo","62"
"2017-07-03","haidaikuan-yyb","449"
"2017-07-03","haijieqian-360","36"
"2017-07-03","haijieqian-anzhi","3"
"2017-07-03","haijieqian-baidu","22"
"2017-07-03","haijieqian-hjieqian","1"
"2017-07-03","haijieqian-jq-daikuanshequ","1"
"2017-07-03","haijieqian-jq-haohaojie","1"
"2017-07-03","haijieqian-jq-laijiezhijia","12"
"2017-07-03","haijieqian-jq-shundai","28"
"2017-07-03","haijieqian-oppo","113"
"2017-07-03","haijieqian-sougou","2"
"2017-07-03","haijieqian-vivo","99"
"2017-07-03","haijieqian-wandoujia","201"
"2017-07-03","haijieqian-xiaomi","29"
"2017-07-03","haijieqian-yyb","334"
"2017-07-03","hjieqian","3"
"2017-07-03","jq-","12"
"2017-07-03","jq-daikuanshequ","3"
"2017-07-03","jq-haohaojie","9"
"2017-07-03","jq-laijiezhijia","144"
"2017-07-03","jq-qianxin","1"
"2017-07-03","jq-shunda","826"
"2017-07-03","jq-shundai","160"
"2017-07-03","jq-wangdaixiaomao","4"
"2017-07-03","jq-yingyanqianbao","1"
"2017-07-03","jq-yinhangdai","1"
"2017-07-03","kuaijiekuan-anzhi","1"
"2017-07-03","kuaijiekuan-baidu","3"
"2017-07-03","kuaijiekuan-huawei","6"
"2017-07-03","kuaijiekuan-oppo","37"
"2017-07-03","kuaijiekuan-sougou","2"
"2017-07-03","kuaijiekuan-vivo","22"
"2017-07-03","kuaijiekuan-yyb","43"
"2017-07-04","AppStore","504"
"2017-07-04","haidaikuan-anzhi","1"
"2017-07-04","haidaikuan-baidu","12"
"2017-07-04","haidaikuan-oppo","131"
"2017-07-04","haidaikuan-sougou","5"
"2017-07-04","haidaikuan-vivo","53"
"2017-07-04","haidaikuan-yyb","345"
"2017-07-04","haijieqian-360","30"
"2017-07-04","haijieqian-anzhi","1"
"2017-07-04","haijieqian-baidu","20"
"2017-07-04","haijieqian-hjieqian","3"
"2017-07-04","haijieqian-jq-daikuanshequ","2"
"2017-07-04","haijieqian-jq-haohaojie","1"
"2017-07-04","haijieqian-jq-laijiezhijia","18"
"2017-07-04","haijieqian-jq-shundai","22"
"2017-07-04","haijieqian-kongzhongloan01","1"
"2017-07-04","haijieqian-oppo","91"
"2017-07-04","haijieqian-sougou","3"
"2017-07-04","haijieqian-vivo","79"
"2017-07-04","haijieqian-wandoujia","198"
"2017-07-04","haijieqian-xiaomi","38"
"2017-07-04","haijieqian-yyb","305"
"2017-07-04","hjieqian","13"
"2017-07-04","jq-","16"
"2017-07-04","jq-haohaojie","2"
"2017-07-04","jq-laijiezhijia","155"
"2017-07-04","jq-rongyitui","1"
"2017-07-04","jq-shunda","730"
"2017-07-04","jq-shundai","121"
"2017-07-04","jq-wangdaixiaomao","2"
"2017-07-04","jq-yingyanqianbao","1"
"2017-07-04","jq-yinhangdai","1"
"2017-07-04","kuaijiekuan-anzhi","1"
"2017-07-04","kuaijiekuan-baidu","4"
"2017-07-04","kuaijiekuan-huawei","10"
"2017-07-04","kuaijiekuan-oppo","27"
"2017-07-04","kuaijiekuan-sougou","2"
"2017-07-04","kuaijiekuan-vivo","9"
"2017-07-04","kuaijiekuan-yyb","27"
"2017-07-05","AppStore","503"
"2017-07-05","haidaikuan-anzhi","2"
"2017-07-05","haidaikuan-baidu","9"
"2017-07-05","haidaikuan-oppo","124"
"2017-07-05","haidaikuan-sougou","4"
"2017-07-05","haidaikuan-vivo","59"
"2017-07-05","haidaikuan-yyb","387"
"2017-07-05","haijieqian-360","39"
"2017-07-05","haijieqian-anzhi","3"
"2017-07-05","haijieqian-baidu","15"
"2017-07-05","haijieqian-hjieqian","2"
"2017-07-05","haijieqian-jq-haohaojie","1"
"2017-07-05","haijieqian-jq-laijiezhijia","10"
"2017-07-05","haijieqian-jq-qianxin","1"
"2017-07-05","haijieqian-jq-shundai","21"
"2017-07-05","haijieqian-kongzhongloan01","2"
"2017-07-05","haijieqian-liantongwo","1"
"2017-07-05","haijieqian-oppo","119"
"2017-07-05","haijieqian-sougou","6"
"2017-07-05","haijieqian-vivo","69"
"2017-07-05","haijieqian-wandoujia","201"
"2017-07-05","haijieqian-xiaomi","35"
"2017-07-05","haijieqian-yyb","321"
"2017-07-05","hjieqian","5"
"2017-07-05","jq-","13"
"2017-07-05","jq-daikuanshequ","2"
"2017-07-05","jq-haohaojie","9"
"2017-07-05","jq-jieqiankuaiche","1"
"2017-07-05","jq-laijiezhijia","150"
"2017-07-05","jq-qingsongjie","7"
"2017-07-05","jq-rongyitui","1"
"2017-07-05","jq-shunda","753"
"2017-07-05","jq-shundai","126"
"2017-07-05","jq-wangdaixiaomao","3"
"2017-07-05","jq-yingyanqianbao","2"
"2017-07-05","jq-yinhangdai","2"
"2017-07-05","kuaijiekuan-anzhi","1"
"2017-07-05","kuaijiekuan-baidu","3"
"2017-07-05","kuaijiekuan-huawei","8"
"2017-07-05","kuaijiekuan-nduo","1"
"2017-07-05","kuaijiekuan-oppo","36"
"2017-07-05","kuaijiekuan-sougou","2"
"2017-07-05","kuaijiekuan-vivo","27"
"2017-07-05","kuaijiekuan-yyb","42"
"2017-07-06","","2"
"2017-07-06","AppStore","511"
"2017-07-06","haidaikuan-baidu","8"
"2017-07-06","haidaikuan-oppo","140"
"2017-07-06","haidaikuan-sougou","2"
"2017-07-06","haidaikuan-vivo","42"
"2017-07-06","haidaikuan-yyb","357"
"2017-07-06","haijieqian-360","42"
"2017-07-06","haijieqian-anzhi","4"
"2017-07-06","haijieqian-baidu","17"
"2017-07-06","haijieqian-hjieqian","1"
"2017-07-06","haijieqian-huawei","2"
"2017-07-06","haijieqian-jq-daikuanshequ","1"
"2017-07-06","haijieqian-jq-haohaojie","2"
"2017-07-06","haijieqian-jq-laijiezhijia","9"
"2017-07-06","haijieqian-jq-shundai","26"
"2017-07-06","haijieqian-kongzhongloan01","1"
"2017-07-06","haijieqian-liantongwo","1"
"2017-07-06","haijieqian-oppo","100"
"2017-07-06","haijieqian-sougou","5"
"2017-07-06","haijieqian-vivo","82"
"2017-07-06","haijieqian-wandoujia","179"
"2017-07-06","haijieqian-xiaomi","36"
"2017-07-06","haijieqian-yyb","281"
"2017-07-06","hjieqian","8"
"2017-07-06","jq-","21"
"2017-07-06","jq-daikuanshequ","1"
"2017-07-06","jq-haohaojie","6"
"2017-07-06","jq-laijiezhijia","133"
"2017-07-06","jq-miaojiekuan","1"
"2017-07-06","jq-qianxin","2"
"2017-07-06","jq-qingsongjie","7"
"2017-07-06","jq-shunda","657"
"2017-07-06","jq-shundai","109"
"2017-07-06","jq-wangdaixiaomao","3"
"2017-07-06","jq-yinhangdai","1"
"2017-07-06","kuaijiekuan-360","1"
"2017-07-06","kuaijiekuan-anzhi","2"
"2017-07-06","kuaijiekuan-baidu","4"
"2017-07-06","kuaijiekuan-huawei","9"
"2017-07-06","kuaijiekuan-oppo","31"
"2017-07-06","kuaijiekuan-sougou","1"
"2017-07-06","kuaijiekuan-vivo","16"
"2017-07-06","kuaijiekuan-yyb","55"
"2017-07-07","AppStore","559"
"2017-07-07","haidaikuan-anzhi","1"
"2017-07-07","haidaikuan-baidu","10"
"2017-07-07","haidaikuan-oppo","144"
"2017-07-07","haidaikuan-sougou","1"
"2017-07-07","haidaikuan-vivo","50"
"2017-07-07","haidaikuan-yyb","392"
"2017-07-07","haijieqian-360","43"
"2017-07-07","haijieqian-anzhi","1"
"2017-07-07","haijieqian-baidu","12"
"2017-07-07","haijieqian-hjieqian","2"
"2017-07-07","haijieqian-huawei","34"
"2017-07-07","haijieqian-jq-haohaojie","1"
"2017-07-07","haijieqian-jq-laijiezhijia","17"
"2017-07-07","haijieqian-jq-shundai","20"
"2017-07-07","haijieqian-kongzhongloan01","2"
"2017-07-07","haijieqian-meizu","7"
"2017-07-07","haijieqian-oppo","123"
"2017-07-07","haijieqian-sougou","10"
"2017-07-07","haijieqian-vivo","93"
"2017-07-07","haijieqian-wandoujia","153"
"2017-07-07","haijieqian-xiaomi","34"
"2017-07-07","haijieqian-yyb","283"
"2017-07-07","hjieqian","10"
"2017-07-07","jisuqiandai-vivo","4"
"2017-07-07","jq-","15"
"2017-07-07","jq-haohaojie","11"
"2017-07-07","jq-laijiezhijia","117"
"2017-07-07","jq-rongyitui","2"
"2017-07-07","jq-shunda","682"
"2017-07-07","jq-shundai","128"
"2017-07-07","jq-wangdaixiaomao","5"
"2017-07-07","jq-yingyanqianbao","1"
"2017-07-07","kuaijiekuan-anzhi","3"
"2017-07-07","kuaijiekuan-baidu","2"
"2017-07-07","kuaijiekuan-huawei","4"
"2017-07-07","kuaijiekuan-oppo","26"
"2017-07-07","kuaijiekuan-sougou","1"
"2017-07-07","kuaijiekuan-vivo","20"
"2017-07-07","kuaijiekuan-yyb","56"
"2017-07-07","qianbaochaoren-vivo","1"
"2017-07-07","qianbaochaoren-yyb","3"
"2017-07-08","AppStore","443"
"2017-07-08","haidaikuan-baidu","9"
"2017-07-08","haidaikuan-oppo","133"
"2017-07-08","haidaikuan-vivo","45"
"2017-07-08","haidaikuan-yyb","394"
"2017-07-08","haijieqian-360","35"
"2017-07-08","haijieqian-anzhi","8"
"2017-07-08","haijieqian-baidu","17"
"2017-07-08","haijieqian-huawei","43"
"2017-07-08","haijieqian-jq-laijiezhijia","10"
"2017-07-08","haijieqian-jq-shundai","24"
"2017-07-08","haijieqian-jq-wangdaixiaomao","1"
"2017-07-08","haijieqian-meizu","11"
"2017-07-08","haijieqian-oppo","102"
