"日期","渠道","首贷订单数"
"2017-07-01","AppStore","443"
"2017-07-01","haidaikuan-anzhi","1"
"2017-07-01","haidaikuan-baidu","6"
"2017-07-01","haidaikuan-oppo","132"
"2017-07-01","haidaikuan-sougou","8"
"2017-07-01","haidaikuan-vivo","64"
"2017-07-01","haidaikuan-yyb","439"
"2017-07-01","haijieqian-360","42"
"2017-07-01","haijieqian-anzhi","19"
"2017-07-01","haijieqian-AppStore","197"
"2017-07-01","haijieqian-baidu","18"
"2017-07-01","haijieqian-baidushichang","1"
"2017-07-01","haijieqian-bd01","5"
"2017-07-01","haijieqian-bugu","1"
"2017-07-01","haijieqian-h360","4"
"2017-07-01","haijieqian-hjieqian","21"
"2017-07-01","haijieqian-huawei","7"
"2017-07-01","haijieqian-hw01","10"
"2017-07-01","haijieqian-jq-","8"
"2017-07-01","haijieqian-jq-anxindai2","1"
"2017-07-01","haijieqian-jq-daikuanwang","2"
"2017-07-01","haijieqian-jq-haohaojie","8"
"2017-07-01","haijieqian-jq-huijiejiekuan","15"
"2017-07-01","haijieqian-jq-huishuaka","1"
"2017-07-01","haijieqian-jq-jinrong58","1"
"2017-07-01","haijieqian-jq-laijieqian","6"
"2017-07-01","haijieqian-jq-laijiezhijia","86"
"2017-07-01","haijieqian-jq-miaojiekuan","1"
"2017-07-01","haijieqian-jq-rongyitui","8"
"2017-07-01","haijieqian-jq-shanyin","6"
"2017-07-01","haijieqian-jq-shunda","125"
"2017-07-01","haijieqian-jq-shundai","35"
"2017-07-01","haijieqian-jq-souyijie","10"
"2017-07-01","haijieqian-jq-wangdaixiaomao","1"
"2017-07-01","haijieqian-jq-yuyongjinfu","2"
"2017-07-01","haijieqian-jq-zhidejie","11"
"2017-07-01","haijieqian-kongzhongloan01","1"
"2017-07-01","haijieqian-leshi","8"
"2017-07-01","haijieqian-meizu","4"
"2017-07-01","haijieqian-mz01","1"
"2017-07-01","haijieqian-oppo","105"
"2017-07-01","haijieqian-oppo01","9"
"2017-07-01","haijieqian-sg01","1"
"2017-07-01","haijieqian-sougou","3"
"2017-07-01","haijieqian-vivo","104"
"2017-07-01","haijieqian-vivo01","12"
"2017-07-01","haijieqian-wandoujia","146"
"2017-07-01","haijieqian-xiaomi","56"
"2017-07-01","haijieqian-yingyongbao","11"
"2017-07-01","haijieqian-yingyonghui","4"
"2017-07-01","haijieqian-yyb","299"
"2017-07-01","haijieqian-yyb01","45"
"2017-07-01","haijieqian-yyh01","2"
"2017-07-01","hjieqian","5"
"2017-07-01","jq-","17"
"2017-07-01","jq-daikuanshequ","1"
"2017-07-01","jq-haohaojie","6"
"2017-07-01","jq-laijiezhijia","119"
"2017-07-01","jq-miaojiekuan","1"
"2017-07-01","jq-rongyitui","3"
"2017-07-01","jq-shunda","540"
"2017-07-01","jq-shundai","107"
"2017-07-01","jq-wangdaixiaomao","3"
"2017-07-01","kuaijiekuan-360","2"
"2017-07-01","kuaijiekuan-anzhi","2"
"2017-07-01","kuaijiekuan-baidu","8"
"2017-07-01","kuaijiekuan-huawei","3"
"2017-07-01","kuaijiekuan-nduo","1"
"2017-07-01","kuaijiekuan-oppo","40"
"2017-07-01","kuaijiekuan-vivo","36"
"2017-07-01","kuaijiekuan-yyb","46"
"2017-07-02","","3"
"2017-07-02","AppStore","428"
"2017-07-02","haidaikuan-anzhi","3"
"2017-07-02","haidaikuan-baidu","9"
"2017-07-02","haidaikuan-oppo","128"
"2017-07-02","haidaikuan-sougou","7"
"2017-07-02","haidaikuan-vivo","65"
"2017-07-02","haidaikuan-yyb","434"
"2017-07-02","haijieqian-360","48"
"2017-07-02","haijieqian-anzhi","26"
"2017-07-02","haijieqian-AppStore","206"
"2017-07-02","haijieqian-baidu","35"
"2017-07-02","haijieqian-baidushichang","1"
"2017-07-02","haijieqian-bd01","6"
"2017-07-02","haijieqian-h360","5"
"2017-07-02","haijieqian-hjieqian","31"
"2017-07-02","haijieqian-huawei","3"
"2017-07-02","haijieqian-hw01","4"
"2017-07-02","haijieqian-jq-","5"
"2017-07-02","haijieqian-jq-daikuanshequ","1"
"2017-07-02","haijieqian-jq-daikuanwang","1"
"2017-07-02","haijieqian-jq-haohaojie","9"
"2017-07-02","haijieqian-jq-huijiejiekuan","12"
"2017-07-02","haijieqian-jq-jinrong58","1"
"2017-07-02","haijieqian-jq-laijieqian","2"
"2017-07-02","haijieqian-jq-laijiezhijia","97"
"2017-07-02","haijieqian-jq-miaojiekuan","1"
"2017-07-02","haijieqian-jq-qianxin","1"
"2017-07-02","haijieqian-jq-rongyitui","6"
"2017-07-02","haijieqian-jq-shanyin","1"
"2017-07-02","haijieqian-jq-shunda","145"
"2017-07-02","haijieqian-jq-shundai","32"
"2017-07-02","haijieqian-jq-souyijie","11"
"2017-07-02","haijieqian-jq-wangdaixiaomao","3"
"2017-07-02","haijieqian-jq-yuyongjinfu","7"
"2017-07-02","haijieqian-jq-zhidejie","8"
"2017-07-02","haijieqian-leshi","6"
"2017-07-02","haijieqian-meizu","5"
"2017-07-02","haijieqian-mz01","1"
"2017-07-02","haijieqian-oppo","121"
"2017-07-02","haijieqian-oppo01","17"
"2017-07-02","haijieqian-sg01","1"
"2017-07-02","haijieqian-sougou","6"
"2017-07-02","haijieqian-vivo","142"
"2017-07-02","haijieqian-vivo01","14"
"2017-07-02","haijieqian-wandoujia","182"
"2017-07-02","haijieqian-xiaomi","58"
"2017-07-02","haijieqian-yingyongbao","17"
"2017-07-02","haijieqian-yingyonghui","6"
"2017-07-02","haijieqian-yyb","319"
"2017-07-02","haijieqian-yyb01","51"
"2017-07-02","haijieqian-yyh01","1"
"2017-07-02","hjieqian","7"
"2017-07-02","jq-","23"
"2017-07-02","jq-daikuanshequ","1"
"2017-07-02","jq-haohaojie","7"
"2017-07-02","jq-jieqiankuaiche","1"
"2017-07-02","jq-kuailaiqian","1"
"2017-07-02","jq-laijiezhijia","108"
"2017-07-02","jq-miaojiekuan","1"
"2017-07-02","jq-qianxin","1"
"2017-07-02","jq-rongyitui","2"
"2017-07-02","jq-shunda","596"
"2017-07-02","jq-shundai","107"
"2017-07-02","jq-wangdaixiaomao","3"
"2017-07-02","jq-yinhangdai","1"
"2017-07-02","kuaijiekuan-anzhi","5"
"2017-07-02","kuaijiekuan-baidu","7"
"2017-07-02","kuaijiekuan-huawei","5"
"2017-07-02","kuaijiekuan-nduo","1"
"2017-07-02","kuaijiekuan-oppo","38"
"2017-07-02","kuaijiekuan-vivo","35"
"2017-07-02","kuaijiekuan-yyb","48"
"2017-07-03","anzhi","1"
"2017-07-03","AppStore","407"
"2017-07-03","haidaikuan-anzhi","5"
"2017-07-03","haidaikuan-baidu","16"
"2017-07-03","haidaikuan-oppo","158"
"2017-07-03","haidaikuan-sougou","4"
"2017-07-03","haidaikuan-vivo","66"
"2017-07-03","haidaikuan-yyb","473"
"2017-07-03","haijieqian-360","45"
"2017-07-03","haijieqian-anzhi","21"
"2017-07-03","haijieqian-AppStore","211"
"2017-07-03","haijieqian-baidu","24"
"2017-07-03","haijieqian-baidushichang","1"
"2017-07-03","haijieqian-bd01","5"
"2017-07-03","haijieqian-h360","9"
"2017-07-03","haijieqian-hjieqian","24"
"2017-07-03","haijieqian-huawei","4"
"2017-07-03","haijieqian-hw01","10"
"2017-07-03","haijieqian-jq-","4"
"2017-07-03","haijieqian-jq-daikuanshequ","1"
"2017-07-03","haijieqian-jq-daikuanwang","1"
"2017-07-03","haijieqian-jq-haohaojie","9"
"2017-07-03","haijieqian-jq-huijiejiekuan","17"
"2017-07-03","haijieqian-jq-jinrong58","1"
"2017-07-03","haijieqian-jq-laijieqian","3"
"2017-07-03","haijieqian-jq-laijiezhijia","104"
"2017-07-03","haijieqian-jq-rongyitui","6"
"2017-07-03","haijieqian-jq-shanyin","3"
"2017-07-03","haijieqian-jq-shunda","115"
"2017-07-03","haijieqian-jq-shundai","38"
"2017-07-03","haijieqian-jq-souyijie","11"
"2017-07-03","haijieqian-jq-wangdaixiaomao","2"
"2017-07-03","haijieqian-jq-yuyongjinfu","5"
"2017-07-03","haijieqian-jq-zhidejie","8"
"2017-07-03","haijieqian-kongzhongloan01","1"
"2017-07-03","haijieqian-leshangdian","1"
"2017-07-03","haijieqian-leshi","9"
"2017-07-03","haijieqian-meizu","3"
"2017-07-03","haijieqian-mz01","6"
"2017-07-03","haijieqian-oppo","111"
"2017-07-03","haijieqian-oppo01","18"
"2017-07-03","haijieqian-sg01","2"
"2017-07-03","haijieqian-sougou","3"
"2017-07-03","haijieqian-vivo","135"
"2017-07-03","haijieqian-vivo01","21"
"2017-07-03","haijieqian-wandoujia","194"
"2017-07-03","haijieqian-xiaomi","55"
"2017-07-03","haijieqian-yingyongbao","9"
"2017-07-03","haijieqian-yingyonghui","4"
"2017-07-03","haijieqian-yyb","357"
"2017-07-03","haijieqian-yyb01","43"
"2017-07-03","hjieqian","2"
"2017-07-03","jq-","8"
"2017-07-03","jq-daikuanshequ","2"
"2017-07-03","jq-haohaojie","6"
